x_coord,y_coord,nazwa
19.8465393,49.9235081,Punkt 1
19.8509167,49.9249586,Punkt 2
19.8543721,49.9245533,Punkt 3
19.8587065,49.9249677,Punkt 4
19.861496,49.9268326,Punkt 5
19.8597365,49.9294433,Punkt 6
19.8548227,49.930866,Punkt 7
19.8496728,49.9304102,Punkt 8
19.8482995,49.928504,Punkt 9
19.8488145,49.9263353,Punkt 10
19.8520546,49.9268188,Punkt 11
19.8547798,49.9265425,Punkt 12
19.8576765,49.9268878,Punkt 13
19.8566466,49.9290703,Punkt 14
19.853385,49.9293466,Punkt 15
19.851132,49.9286421,Punkt 16
19.8540287,49.927841,Punkt 17
19.8558097,49.928062,Punkt 18
19.8549943,49.9292361,Punkt 19
19.8536854,49.9288908,Punkt 20
19.8466044,49.9234205,Punkt 21
